time,MCC,MNC,LAC,Cell_ID,rxl,arfcn,bsic,lat,lon,satellites,GPS_quality,altitude,altitude_units
17-07-11 15:05:08,310,260,8e2,1e98,45,0636,59,32.60580062866211,-85.4870834350586,6,2,199.0,M
17-07-11 15:04:54,0,0,0,0000,255,65535,00,32.60575485229492,-85.487060546875,6,2,198.89999389648438,M
17-07-11 15:05:13,310,260,8e2,1e99,43,0634,11,32.60580062866211,-85.4870834350586,6,2,199.0,M
17-07-11 15:05:28,0,0,0,0000,255,65535,00,32.60580062866211,-85.4870834350586,6,2,199.0,M
17-07-11 15:05:03,310,260,8e2,4575,56,0633,17,32.60580062866211,-85.4870834350586,6,2,199.0,M
17-07-11 15:05:18,310,260,8e2,4578,39,0612,138,32.60580062866211,-85.4870834350586,6,2,199.0,M
17-07-11 15:04:29,310,260,8e2,1e98,47,0636,59,32.60575485229492,-85.487060546875,6,2,198.89999389648438,M
17-07-11 15:05:54,310,260,8e2,4578,39,0612,138,32.605831146240234,-85.48709869384766,6,2,199.1999969482422,M
17-07-11 15:04:44,310,260,8e2,4576,23,0684,186,32.60575485229492,-85.487060546875,6,2,198.89999389648438,M
17-07-11 15:04:34,310,260,8e2,1e99,42,0634,11,32.60575485229492,-85.487060546875,6,2,198.89999389648438,M
17-07-11 15:05:23,310,260,8e2,4576,23,0684,186,32.60580062866211,-85.4870834350586,6,2,199.0,M
17-07-11 15:05:44,310,260,8e2,1e98,43,0636,59,32.605831146240234,-85.48709869384766,6,2,199.1999969482422,M
17-07-11 15:05:39,310,260,8e2,4575,56,0633,17,32.605831146240234,-85.48709869384766,6,2,199.1999969482422,M
17-07-11 15:04:39,310,260,8e2,4578,39,0612,138,32.60575485229492,-85.487060546875,6,2,198.89999389648438,M
17-07-11 15:04:24,310,260,8e2,4575,56,0633,17,32.60575485229492,-85.487060546875,6,2,198.89999389648438,M
17-07-11 15:04:49,0,0,0,0000,255,65535,00,32.60575485229492,-85.487060546875,6,2,198.89999389648438,M
17-07-11 15:05:49,310,260,8e2,1e99,43,0634,11,32.605831146240234,-85.48709869384766,6,2,199.1999969482422,M
17-07-11 15:05:33,0,0,0,0000,255,65535,00,32.60580062866211,-85.4870834350586,6,2,199.0,M
